duration,unit,partner,geo,time\isced11	TOTAL 	ED0-2 	ED3_4 	ED5-8 
N1-3,PC_POP,WORLD,SE,2017	76.45 	: 	: 	: 
N1-3,PC_POP,WORLD,SI,2012	36.31 	20.18 	36.82 	52.72 
N1-3,PC_POP,WORLD,SI,2013	31.78 e	19.15 e	30.89 e	46.76 e
N1-3,PC_POP,WORLD,SI,2014	33.03 e	18.72 e	33.01 e	47.22 e
N1-3,PC_POP,WORLD,SI,2015	30.6 	20.03 u	29.3 	47.75 
N1-3,PC_POP,WORLD,SI,2016	37.82 	28.17 	35.22 	55.98 
N1-3,PC_POP,WORLD,SI,2017	35.62 	: 	: 	: 
N1-3,PC_POP,WORLD,SK,2012	13.87 	: 	: 	: 
N1-3,PC_POP,WORLD,SK,2013	27.19 b	: 	: 	: 
N1-3,PC_POP,WORLD,SK,2014	26.22 	: 	: 	: 
N1-3,PC_POP,WORLD,SK,2015	29.57 	: 	: 	: 
N1-3,PC_POP,WORLD,SK,2016	33.01 	: 	: 	: 
N1-3,PC_POP,WORLD,SK,2017	45.68 	: 	: 	: 
N1-3,PC_POP,WORLD,UK,2012	8.82 	: 	: 	: 
N1-3,PC_POP,WORLD,UK,2013	22.29 	: 	: 	: 
N1-3,PC_POP,WORLD,UK,2014	25.12 	: 	: 	: 
N1-3,PC_POP,WORLD,UK,2015	22.49 	: 	: 	: 
N1-3,PC_POP,WORLD,UK,2016	22.68 	: 	: 	: 
N_GE1,NR,DOM,AT,2012	1355097 	: 	: 	: 
N_GE1,NR,DOM,AT,2013	1327722 	: 	: 	: 
N_GE1,NR,DOM,AT,2014	1348198 	: 	: 	: 
N_GE1,NR,DOM,AT,2015	1344580 	: 	: 	: 
N_GE1,NR,DOM,AT,2016	1364017 	: 	: 	: 
N_GE1,NR,DOM,AT,2017	1304408 	: 	: 	: 
N_GE1,NR,DOM,BE,2012	518284 	: 	: 	: 
N_GE1,NR,DOM,BE,2013	489939 	: 	: 	: 
N_GE1,NR,DOM,BE,2014	440854 	: 	: 	: 
N_GE1,NR,DOM,BE,2015	500435 	: 	: 	: 
