accommod,unit,nace_r2,deg_urb,geo\time	2017 	2016 	2015 	2014 	2013 	2012 
BEDPL,NR,I551-I553,DEG3,LT	37131 	36940 	35816 	35503 	33043 	32097 
BEDPL,NR,I551-I553,DEG3,LU	45988 	46122 	47212 	47980 	49875 	51227 
BEDPL,NR,I551-I553,DEG3,LV	21290 	17509 	15380 	13102 	13906 	12926 
BEDPL,NR,I551-I553,DEG3,MK	22894 	22760 	22476 	: 	: 	: 
BEDPL,NR,I551-I553,DEG3,MT	871 	2136 	1982 	1880 	1845 	1757 
BEDPL,NR,I551-I553,DEG3,NL	598407 	597600 	600164 	601365 	625159 b	551245 
BEDPL,NR,I551-I553,DEG3,NO	376649 	356907 	361415 	383095 	384659 	339745 
BEDPL,NR,I551-I553,DEG3,PL	322947 	342629 	325524 	318673 	315070 	311714 
BEDPL,NR,I551-I553,DEG3,PT	182847 	165612 	155445 	149994 	130791 	126894 
BEDPL,NR,I551-I553,DEG3,RO	104069 	95316 	93829 	84323 	82916 	77531 
BEDPL,NR,I551-I553,DEG3,SE	452602 	451059 	450542 	456459 	457710 	452900 
BEDPL,NR,I551-I553,DEG3,SI	59796 u	57844 u	56068 u	58820 	58363 	58525 
BEDPL,NR,I551-I553,DEG3,SK	93303 	92116 	95551 	93380 	96226 	97432 
BEDPL,NR,I551-I553,DEG3,UK	: 	773407 	773725 	: 	775989 	736334 
BEDPL,NR,I551-I553,DEG3,XK	1953 u	: 	: 	: 	: 	: 
BEDPL,NR,I551-I553,TOTAL,AT	1013199 	1001442 	993465 	993554 	981070 	979329 
BEDPL,NR,I551-I553,TOTAL,BE	373802 	368468 	368492 	366166 	372867 	371731 
BEDPL,NR,I551-I553,TOTAL,BG	348724 	328264 	322465 	314257 	302433 	301140 
BEDPL,NR,I551-I553,TOTAL,CH	: 	681306 	: 	: 	: 	: 
BEDPL,NR,I551-I553,TOTAL,CY	85965 	84239 	85414 	87578 	87143 	86645 
BEDPL,NR,I551-I553,TOTAL,CZ	715540 	716563 	715014 	710381 	740671 	748337 b
BEDPL,NR,I551-I553,TOTAL,DE	3377728 	3336207 	3340072 	3318592 	3326821 	3326576 
BEDPL,NR,I551-I553,TOTAL,DK	424035 	418447 	415825 	420031 	417594 	440410 
BEDPL,NR,I551-I553,TOTAL,EA	22917209 e	22601949 	22527052 	: 	: 	: 
BEDPL,NR,I551-I553,TOTAL,EE	61663 	59471 	58072 	58095 	55482 	52979 
BEDPL,NR,I551-I553,TOTAL,EL	1273476 e	1241414 e	1244850 e	1238586 e	1207394 	1204845 e
BEDPL,NR,I551-I553,TOTAL,ES	3558650 	3515810 	3526937 	3482983 	3437362 	3414798 
BEDPL,NR,I551-I553,TOTAL,EU27	30686853 e	30332114 	30202104 	30053480 e	29792271 	28981722 
BEDPL,NR,I551-I553,TOTAL,EU28	31746845 e	31319386 	31140717 	30947307 e	30659381 	29780650 
BEDPL,NR,I551-I553,TOTAL,FI	258738 	252902 	252032 	250984 	254112 	246676 
BEDPL,NR,I551-I553,TOTAL,FR	: 	5133645 	5133314 	5109884 	5049726 	5013188 
BEDPL,NR,I551-I553,TOTAL,HR	1059992 	987272 	938613 	893827 	867110 	798928 b
BEDPL,NR,I551-I553,TOTAL,HU	418912 	446400 	440449 	435620 	422039 	382819 b
BEDPL,NR,I551-I553,TOTAL,IE	: 	199756 	199756 	205860 e	211034 e	219874 be
BEDPL,NR,I551-I553,TOTAL,IS	44508 	43623 	42177 	38674 	: 	: 
BEDPL,NR,I551-I553,TOTAL,IT	5037798 	4942512 	4879313 	4849432 	4728180 	4762601 
BEDPL,NR,I551-I553,TOTAL,LI	2378 	2434 	2041 	2011 	: 	: 
BEDPL,NR,I551-I553,TOTAL,LT	80766 	77024 	73762 	72926 	69287 	67250 b
BEDPL,NR,I551-I553,TOTAL,LU	63612 	63862 	64011 	64858 	66747 	68159 b
BEDPL,NR,I551-I553,TOTAL,LV	: c	: c	: c	39074 	38400 	36901 b
BEDPL,NR,I551-I553,TOTAL,ME	43061 b	153424 	: 	: 	: 	149348 b
BEDPL,NR,I551-I553,TOTAL,MK	46446 	45377 	44270 	43432 	42542 	42119 
BEDPL,NR,I551-I553,TOTAL,MT	44631 	43379 	42883 	41873 	43360 	40463 
BEDPL,NR,I551-I553,TOTAL,NL	1377631 	1369903 	1371951 	1373588 	1404852 b	1213412 
BEDPL,NR,I551-I553,TOTAL,NO	568297 	542394 	547568 	575295 	573070 	516243 
BEDPL,NR,I551-I553,TOTAL,PL	773957 	749191 	710274 	694023 	679445 	675433 
BEDPL,NR,I551-I553,TOTAL,PT	620175 	567772 	551687 	519871 	491099 	486512 
BEDPL,NR,I551-I553,TOTAL,RO	338791 	326098 	325841 	308997 	303236 	285488 b
