unit,purpose,duration,partner,accommod,geo\time	2017 	2016 	2015 	2014 	2013 	2012 
THS_EUR,PERS,N1-3,DOM,R_OTH,SK	32419.59 	30116.07 u	25331.89 	37642.88 	19737.24 b	13285.54 
THS_EUR,PERS,N1-3,DOM,R_OTH,UK	: 	: 	: 	: 	419983.53 	: u
THS_EUR,PERS,N1-3,DOM,TOTAL,AT	736740.54 	740867.09 	645077.93 	612039.24 	626709.46 	766765.84 
THS_EUR,PERS,N1-3,DOM,TOTAL,BE	166215.8 b	110228.23 	153056.87 	99852.05 	124368.6 	106618.05 
THS_EUR,PERS,N1-3,DOM,TOTAL,BG	33527.86 	21548.81 	19394.97 	27109.89 	20854.68 	17580.45 
THS_EUR,PERS,N1-3,DOM,TOTAL,CH	: 	358699.98 	367238.63 	323255.39 	371022.55 	272501.05 
THS_EUR,PERS,N1-3,DOM,TOTAL,CY	30937.49 	28815.04 	31522.58 	30610.04 	19151.37 b	38887.8 
THS_EUR,PERS,N1-3,DOM,TOTAL,CZ	131091.03 	116064.99 	81052.87 	71736.55 	70037.22 	74044.27 
THS_EUR,PERS,N1-3,DOM,TOTAL,DE	4449804.29 	4461709.76 	4355530.46 	3996783.24 	4873320.83 	4166943.39 
THS_EUR,PERS,N1-3,DOM,TOTAL,DK	: 	1070002.26 	965114.01 	1065344.98 b	997931.26 b	484690.44 
THS_EUR,PERS,N1-3,DOM,TOTAL,EA	: 	: 	: 	10361247.37 e	11255283.65 e	10914010.36 e
THS_EUR,PERS,N1-3,DOM,TOTAL,EE	42115.94 	42092.2 	32022.34 	22583.83 	15454.47 	17069.36 
THS_EUR,PERS,N1-3,DOM,TOTAL,EL	: 	35210.98 	36318.39 	34763.51 	29364.05 	50554.62 
THS_EUR,PERS,N1-3,DOM,TOTAL,ES	1935028.3 	1718707.27 	1661552.81 b	1469697.23 	1495329.64 	1385600.7 
THS_EUR,PERS,N1-3,DOM,TOTAL,EU27	: 	: 	15553644.71 e	14302711.03 e	17213402.07 e	16470389.66 e
THS_EUR,PERS,N1-3,DOM,TOTAL,EU28	: 	: 	15557604.91 e	14320966.58 e	17249741.87 e	16506450.71 e
