unit,purpose,duration,partner,expend,geo\time	2017 	2016 	2015 	2014 	2013 	2012 
THS_EUR,PERS,N1-3,DOM,TRA,IE	151431.47 	151875.05 	148963.18 	139753.28 	136253.44 	138798.03 
THS_EUR,PERS,N1-3,DOM,TRA,IT	1277557.98 	1225942.19 	948775.34 	931533.65 b	861375.59 	1156710.44 
THS_EUR,PERS,N1-3,DOM,TRA,LT	27929.28 	29269.11 	29471.22 	21948.86 	17490.77 	18025.1 
THS_EUR,PERS,N1-3,DOM,TRA,LU	: 	1078.83 u	1330.43 u	2728.27 	2993.02 	1192.86 
THS_EUR,PERS,N1-3,DOM,TRA,LV	: 	33681.03 	34848.9 	34867.21 	39572.14 	39809.41 
THS_EUR,PERS,N1-3,DOM,TRA,MT	2270.61 	2119.35 	1664.1 	1786.78 b	1486.95 	1490.04 
THS_EUR,PERS,N1-3,DOM,TRA,NL	343502.19 	290394.7 	286338.19 	326810.68 	291471.47 	323828.45 
THS_EUR,PERS,N1-3,DOM,TRA,NO	807965.49 	708187.68 	682815.64 	691918.29 	561067.82 	: 
THS_EUR,PERS,N1-3,DOM,TRA,PL	469856.73 	409577.97 	360063.48 	319913.33 b	760954.17 	820157.64 
THS_EUR,PERS,N1-3,DOM,TRA,PT	252813.84 	212606.88 	182693.94 	191237.98 	160014.95 	160806.31 
THS_EUR,PERS,N1-3,DOM,TRA,RO	309550.53 	271812.27 	246800.3 	235987.27 	214879.69 	119337.32 
THS_EUR,PERS,N1-3,DOM,TRA,SE	: 	572530.56 	636351.94 	517695.78 	: 	: 
THS_EUR,PERS,N1-3,DOM,TRA,SI	21489.16 	17765.45 	16095.62 	21707.21 	24816.35 	26363.45 
THS_EUR,PERS,N1-3,DOM,TRA,SK	84517.09 	70449.94 	57484.14 	74503.6 	45692.2 b	57905.4 
THS_EUR,PERS,N1-3,DOM,TRA,UK	: 	: 	: 	: 	2787460.98 	: u
THS_EUR,PERS,N1-3,OUT,ACC,AT	460317.22 	420393.67 	399824.55 	416243.36 	397597.29 	416634.68 
THS_EUR,PERS,N1-3,OUT,ACC,BE	363747.82 b	389712.46 	274235.98 	295011.29 	289120.77 	238217.21 
THS_EUR,PERS,N1-3,OUT,ACC,BG	8471.59 	6271.07 	7344 	8426.11 	7110.84 	5683.07 
THS_EUR,PERS,N1-3,OUT,ACC,CH	: 	535693.67 	528231.06 	453896.38 	591070.79 	367625.92 
THS_EUR,PERS,N1-3,OUT,ACC,CY	22542.44 	16302.29 	15157.83 	14071.36 	16417.81 	19050.81 
THS_EUR,PERS,N1-3,OUT,ACC,CZ	56607.1 	53033.96 	44431.89 	41943.18 	40891.53 	33948.48 
THS_EUR,PERS,N1-3,OUT,ACC,DE	1787797.94 	1852972.73 	1741374.25 	1537745.21 	1771069.84 	1659801.69 
THS_EUR,PERS,N1-3,OUT,ACC,DK	: 	283134.87 	268517.3 	235773.64 b	216871.15 b	118605.94 
THS_EUR,PERS,N1-3,OUT,ACC,EA	: 	: 	: 	3960817.58 e	4161000.98 e	4046857.06 e
THS_EUR,PERS,N1-3,OUT,ACC,EE	23632.96 	19316.36 	16410.62 	24355.51 	21105.82 	23808.21 
THS_EUR,PERS,N1-3,OUT,ACC,EL	: 	7127.65 	7858.99 	7532.73 	5426.53 	4064.26 
THS_EUR,PERS,N1-3,OUT,ACC,ES	379159.14 	324880.24 	295315.83 b	216884.2 	176096.31 	158116.92 
THS_EUR,PERS,N1-3,OUT,ACC,EU27	: 	: 	5858683.57 e	5248356.26 e	6016026.52 e	5584863.85 e
THS_EUR,PERS,N1-3,OUT,ACC,EU28	: 	: 	5902877.34 e	5287879.55 e	6057287.68 e	5632868.82 e
THS_EUR,PERS,N1-3,OUT,ACC,FI	305747.96 	258766.4 	258531.52 	248752.71 	275646.54 	271905.09 
THS_EUR,PERS,N1-3,OUT,ACC,FR	556513.98 	466097.47 	473696.5 	496351.06 	426459.52 	419537.85 
THS_EUR,PERS,N1-3,OUT,ACC,HR	52620.58 	35578.71 	44869.18 	40136.72 	41445.7 	47990.9 
THS_EUR,PERS,N1-3,OUT,ACC,HU	72788.78 	60941.25 	48496.25 	46783.18 	42659.61 	31505.84 
THS_EUR,PERS,N1-3,OUT,ACC,IE	217793.91 	145828.42 	171051.45 	141139.35 	126308.44 	125519.31 
THS_EUR,PERS,N1-3,OUT,ACC,IT	376886.21 	317965.15 	224177.53 	185870.66 b	259644.99 	286128.85 
THS_EUR,PERS,N1-3,OUT,ACC,LT	15069.95 	16912.23 	19411.97 	12944.93 	12275.62 	11093.95 
THS_EUR,PERS,N1-3,OUT,ACC,LU	: 	46464.59 	59455.59 	54745.94 	40278.31 	40439.89 
THS_EUR,PERS,N1-3,OUT,ACC,LV	: 	19307.18 	21773.6 	14407.09 	13126.27 	10919.22 
THS_EUR,PERS,N1-3,OUT,ACC,MT	14611.02 	11632.01 	9566.52 	8249.06 b	6414.33 	5580.31 
THS_EUR,PERS,N1-3,OUT,ACC,NL	390100.57 	275712.47 	253595.95 	239427.59 	288462.03 	316377.08 
THS_EUR,PERS,N1-3,OUT,ACC,NO	338558.76 	342539.33 	296032.4 	367269.35 	286854.7 	: 
