unit,purpose,duration,partner,geo\time	2017 	2016 	2015 	2014 	2013 	2012 
THS_EUR,PERS,N1-3,BG,PT	: 	: u	: 	: 	: 	: 
THS_EUR,PERS,N1-3,BG,RO	1144.23 u	: u	: u	: u	1189.83 u	: u
THS_EUR,PERS,N1-3,BG,SE	: 	: u	: u	: u	: 	: 
THS_EUR,PERS,N1-3,BG,SI	: 	: 	: u	: 	: 	: u
THS_EUR,PERS,N1-3,BG,UK	: 	: 	: 	: 	: 	: u
THS_EUR,PERS,N1-3,BR,ES	: 	: 	: 	: 	: 	: u
THS_EUR,PERS,N1-3,BR,LU	: 	: 	: u	: 	: 	: 
THS_EUR,PERS,N1-3,BR,NL	: c	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,BR,NO	: 	: 	: u	: 	: 	: 
THS_EUR,PERS,N1-3,BR,PT	: c	: u	: 	: 	: 	: 
THS_EUR,PERS,N1-3,BR,SE	: 	: u	: 	: 	: 	: 
THS_EUR,PERS,N1-3,BR,UK	: 	: 	: 	: 	: u	: u
THS_EUR,PERS,N1-3,CA,AT	: 	: 	: u	: u	: 	: u
THS_EUR,PERS,N1-3,CA,BE	: 	: 	: 	: u	: 	: 
THS_EUR,PERS,N1-3,CA,DE	: 	: 	: 	: 	: u	: u
THS_EUR,PERS,N1-3,CA,DK	: 	: 	: u	: 	: 	: 
THS_EUR,PERS,N1-3,CA,EE	: 	: 	: 	: 	: 	: u
THS_EUR,PERS,N1-3,CA,FR	: u	: 	: 	: 	: 	: u
THS_EUR,PERS,N1-3,CA,HR	: 	: 	: 	: 	: u	: 
THS_EUR,PERS,N1-3,CA,HU	: 	: 	: 	: 	: 	: u
THS_EUR,PERS,N1-3,CA,IE	: 	: u	: 	: u	: 	: 
THS_EUR,PERS,N1-3,CA,MT	: 	: 	: 	: 	: 	: u
THS_EUR,PERS,N1-3,CA,NL	: c	: 	: 	: 	: u	: u
THS_EUR,PERS,N1-3,CA,NO	: u	: 	: 	: 	: u	: 
THS_EUR,PERS,N1-3,CA,PL	: 	: u	: 	: 	: 	: 
THS_EUR,PERS,N1-3,CA,PT	: c	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,CA,SE	: 	: 	: u	: 	: 	: 
THS_EUR,PERS,N1-3,CA,UK	: 	: 	: 	: 	: u	: u
THS_EUR,PERS,N1-3,CH,AT	16123.92 u	10190.16 u	14930.23 u	13499.79 u	12445.12 u	8728.3 u
THS_EUR,PERS,N1-3,CH,BE	: u	3361.14 	4271.98 u	3546.94 u	: u	: u
THS_EUR,PERS,N1-3,CH,CH	: 	118944.89 	120249.82 	132256.62 	141567.77 	123727.08 
THS_EUR,PERS,N1-3,CH,CY	: c	: u	: 	: u	: 	: u
THS_EUR,PERS,N1-3,CH,CZ	: 	: u	: u	: u	: 	: 
THS_EUR,PERS,N1-3,CH,DE	81626.82 u	87673.92 u	135352.1 u	97573.1 u	87838.26 u	118780.84 
THS_EUR,PERS,N1-3,CH,DK	: 	: u	: u	: u	: u	: u
THS_EUR,PERS,N1-3,CH,EE	: c	: u	: 	: 	: u	: 
THS_EUR,PERS,N1-3,CH,EL	: 	: u	: u	: u	: 	: u
