unit,purpose,duration,partner,quantile,geo\time	2017 	2016 	2015 	2014 	2013 	2012 
THS_EUR,PERS,N1-3,WORLD,Q4,NL	1450150.88 	784318.41 	665425.86 	599423.85 	649985.74 	: 
THS_EUR,PERS,N1-3,WORLD,Q4,RO	30858.32 	31818.72 	13359.18 	13422.67 	19761.59 	: 
THS_EUR,PERS,N1-3,WORLD,TOTAL,AT	3066613.17 	3017469.14 	2811901.38 	2843246.61 	2565561.8 	2407683.56 
THS_EUR,PERS,N1-3,WORLD,TOTAL,BE	1300085.3 b	1323957.22 	1118398.22 	1006346.95 	1048592.5 	841868.52 
THS_EUR,PERS,N1-3,WORLD,TOTAL,BG	210228.12 	144843.99 	131501.03 	196440.29 	163238.94 	144286.15 
THS_EUR,PERS,N1-3,WORLD,TOTAL,CH	: 	2502259.12 	2596838.52 	2095009.09 	2492290.19 	1809559.11 
THS_EUR,PERS,N1-3,WORLD,TOTAL,CY	262364.43 	209991.74 	183277.38 	181676.21 	170387.73 	132819.7 
THS_EUR,PERS,N1-3,WORLD,TOTAL,CZ	1034909.33 	938130.41 	816407.31 	770650.66 	748339.93 	759841.62 
THS_EUR,PERS,N1-3,WORLD,TOTAL,DE	18456146.35 	18664335.95 	19098832.67 	17069633.52 	19628059.22 	18795405.62 
THS_EUR,PERS,N1-3,WORLD,TOTAL,DK	: 	4362534.49 	4164629.82 	4592340.4 b	4158199.01 b	2064773.3 
THS_EUR,PERS,N1-3,WORLD,TOTAL,EA	: 	: 	: 	: 	57718318.89 e	57842929.57 e
THS_EUR,PERS,N1-3,WORLD,TOTAL,EE	285680.36 	259265.07 	230626.2 	202183.93 	155946.14 	137855.23 
THS_EUR,PERS,N1-3,WORLD,TOTAL,EL	: 	223495.93 	239340.1 	246087.49 	189852.68 	295623.65 
THS_EUR,PERS,N1-3,WORLD,TOTAL,ES	11691996.7 	10482279.01 	9561197.49 b	7187287.42 	7092089.68 	7048765.86 
THS_EUR,PERS,N1-3,WORLD,TOTAL,EU27	: 	: 	: 	: 	81142833.07 e	79724039.56 e
THS_EUR,PERS,N1-3,WORLD,TOTAL,EU28	: 	: 	: 	: 	81651142.44 e	80139270.98 e
THS_EUR,PERS,N1-3,WORLD,TOTAL,FI	4550985.18 	4319730.08 	4339731.91 	4185370.39 	4560853.76 	4705258.59 
THS_EUR,PERS,N1-3,WORLD,TOTAL,FR	15886378.06 	13162076.35 	13355396.71 	14640858.74 	14012985.77 	14182238.53 
THS_EUR,PERS,N1-3,WORLD,TOTAL,HR	316593.87 	253824.04 	368656.29 	428973.45 	511141.37 	419999.05 
THS_EUR,PERS,N1-3,WORLD,TOTAL,HU	1003953.27 	874663.33 	750259.38 	710436.95 	607176.06 	616028.89 
THS_EUR,PERS,N1-3,WORLD,TOTAL,IE	1802841.09 	1504211.35 	1515294.84 	1313876.88 	1211614.64 	1212260.72 
