unit,purpose,duration,partner,wstatus,geo\time	2017 	2016 	2015 	2014 	2013 	2012 
THS_EUR,PERS,N1-3,OUT,EMP,RO	27887.99 	31102.87 	23750.32 	12638.52 	22230.82 	23039.3 
THS_EUR,PERS,N1-3,OUT,EMP,SI	: 	77067.19 	87730.6 	80974.21 	83052.64 	66795.54 
THS_EUR,PERS,N1-3,OUT,INAC_OTH,AT	250407.68 	224424.02 	212397.39 	246971.83 	188046.21 	195242.09 
THS_EUR,PERS,N1-3,OUT,INAC_OTH,EA	: 	: 	: 	: 	793765.53 e	755703.38 e
THS_EUR,PERS,N1-3,OUT,INAC_OTH,EE	14532.19 u	7968.12 u	6006.46 u	10239.45 	5306.01 	10163.06 u
THS_EUR,PERS,N1-3,OUT,INAC_OTH,ES	150997.78 	127187.46 	99248.32 b	122545.6 	125486.92 	102358.49 
THS_EUR,PERS,N1-3,OUT,INAC_OTH,EU27	: 	: 	915227 e	: 	850569.55 e	879455.83 e
THS_EUR,PERS,N1-3,OUT,INAC_OTH,EU28	: 	: 	957520.1 e	: 	850452.45 e	879317.1 e
THS_EUR,PERS,N1-3,OUT,INAC_OTH,FI	313563.13 	283207.77 	330887.3 	282233.56 	329947.8 	268498.91 
THS_EUR,PERS,N1-3,OUT,INAC_OTH,HR	20139.68 	: 	37946.59 	23875.1 	: 	: 
THS_EUR,PERS,N1-3,OUT,INAC_OTH,LU	: 	: 	: 	: 	: 	20543.03 
THS_EUR,PERS,N1-3,OUT,INAC_OTH,LV	: 	4391.16 u	4460.02 u	7076.74 u	7843.11 u	6807.53 u
THS_EUR,PERS,N1-3,OUT,INAC_OTH,MT	: 	7010.59 u	6998.02 u	: 	: 	: 
THS_EUR,PERS,N1-3,OUT,INAC_OTH,NL	152324.07 	124241.87 	102856.99 	124161.19 	114844.64 	130864.5 
THS_EUR,PERS,N1-3,OUT,INAC_OTH,PL	: 	: 	: 	: 	: 	: u
THS_EUR,PERS,N1-3,OUT,INAC_OTH,PT	: c	14699.14 	9715.9 u	: 	10318.74 u	11474.06 
THS_EUR,PERS,N1-3,OUT,INAC_OTH,RO	: c	: u	: u	: u	: u	: u
THS_EUR,PERS,N1-3,OUT,INAC_OTH,SI	: 	25029.07 	25384.76 	15488.77 	19717.81 	16466.27 
THS_EUR,PERS,N1-3,OUT,UNE,AT	22110.41 u	10432.48 u	16125.93 u	: u	: u	: u
THS_EUR,PERS,N1-3,OUT,UNE,EA	: 	: 	: 	: 	150056.85 e	148171.24 e
THS_EUR,PERS,N1-3,OUT,UNE,EE	: c	: u	: u	3721.45 u	3318.09 u	: u
THS_EUR,PERS,N1-3,OUT,UNE,ES	82812.98 	85348.58 	83884.46 b	61230.84 	66167.54 	57478.53 
