accommod,unit,geo\time	2017 	2016 	2015 	2014 	2013 	2012 
BEDPL,PC,ITC1	44.4 	42 	42.5 	34.1 	32.6 	31.6 
BEDPL,PC,ITC2	47.3 	46 	43.4 	41.1 	41.4 	39.9 
BEDPL,PC,ITC3	48.9 	45.1 	42.6 	42.4 	46.2 	41.5 
BEDPL,PC,ITC4	45.4 	44.4 	46.4 	43.2 	42.9 	39.5 
BEDPL,PC,ITF	33.5 	34.6 	35 	33.7 	33.2 	33.4 
BEDPL,PC,ITF1	33.2 	32.9 	31.4 	30.2 	31.1 	31.3 
BEDPL,PC,ITF2	31.8 	36.1 	38.9 	32.7 	29 	27.5 
BEDPL,PC,ITF3	41 	39.5 	38.6 	37 	37 	37.8 
BEDPL,PC,ITF4	31 	34.7 	31.7 	31.5 	33.8 	33.3 
BEDPL,PC,ITF5	32.9 	35.4 	35.2 	31.4 	29.6 	27.1 
BEDPL,PC,ITF6	25.7 	27 	33.8 	32.5 	28.3 	29.2 
BEDPL,PC,ITG	41.2 	42.4 	36.4 	33.9 	33 	32.1 
BEDPL,PC,ITG1	39.3 	39.5 	32.7 	29.1 	28 	28.3 
BEDPL,PC,ITG2	43.7 	46.3 	42.6 	44.3 	44.7 	40.5 
BEDPL,PC,ITH	56 	52.9 	48.4 	47.9 	48 	50.7 
BEDPL,PC,ITH1	66.1 	64.5 	61.7 	58.4 	61.1 	61 
BEDPL,PC,ITH2	55.6 	49.9 	48.8 	46.7 	46.6 	45.7 
BEDPL,PC,ITH3	56.8 	55.4 	53.5 	51.6 	50.6 	50.2 
BEDPL,PC,ITH4	35.5 	34.4 	32.8 	31.1 	31.9 	32.2 
BEDPL,PC,ITH5	53 	48.2 	40 	42.2 	42 	50.4 
BEDPL,PC,ITI	45.1 	38.4 	40.1 	38.3 	38.2 	39.1 
BEDPL,PC,ITI1	44.6 	40.7 	42.5 	31 	33.5 	35.6 
BEDPL,PC,ITI2	32 	33 	32.1 	31.5 	30.4 	30.4 
BEDPL,PC,ITI3	38 	37.6 	36 	30.4 	31.2 	30.6 
BEDPL,PC,ITI4	50.2 	37.5 	40.4 	53.7 	47.5 	47.5 
BEDPL,PC,LI	26.1 	23.7 	27.6 	29.4 	31.7 	30.5 
BEDPL,PC,LI0	26.1 	23.7 	27.6 	29.4 	31.7 	30.5 
BEDPL,PC,LI00	26.1 	23.7 	27.6 	29.4 	31.7 	30.5 
BEDPL,PC,LT	40.8 	39 	36.8 	37.1 	36.8 	35 
