unit,purpose,duration,partner,sex,geo\time	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 
NR,PERS,N1-3,OUT,F,EL	: 	115802 	137338 	127369 	80125 	117354 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,OUT,F,ES	5068393 	4091125 	3733519 b	3552160 	3040862 	3430476 	: 	: 	: 	: 	: 	2353460 	2110230 	1524760 	946370 	821650 	1147237 	952549 	506452 	746432 	: 	: 	: 	: 
NR,PERS,N1-3,OUT,F,EU27	: 	: 	70891962 e	70021479 e	63980873 e	62432254 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,OUT,F,EU28	: 	: 	72079115 e	71198665 e	64930183 e	63470892 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,OUT,F,FI	3938442 	3439623 	3617952 	3359598 	3394021 	3569342 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,OUT,F,FR	6840043 	5225964 	5642180 	5759445 	5554315 	5378795 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,OUT,F,HR	711783 	667962 	1113253 	1103614 	941614 	1029024 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,OUT,F,HU	3005377 	2806282 	2281133 	2013504 	1684551 	1482334 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,OUT,F,IE	2517967 	1844115 	1869302 	1802817 	1739955 	1678166 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,OUT,F,IT	3684367 	2916983 	3096370 	3168954 b	2652875 	3792562 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
