unit,purpose,duration,partner,wstatus,geo\time	2017 	2016 	2015 	2014 	2013 	2012 
NR,PERS,N1-3,WORLD,ACT_INAC,CH	: 	15443308 	16412269 	14755502 	16066449 	14003177 
NR,PERS,N1-3,WORLD,ACT_INAC,CY	2568437 	2390784 	2268057 	1993481 	1995824 	2236799 
NR,PERS,N1-3,WORLD,ACT_INAC,CZ	41734050 	37217274 	34307712 	39851274 	36079523 	38546932 
NR,PERS,N1-3,WORLD,ACT_INAC,DE	194010197 	208317536 	214352678 	194436947 	210754951 	200168867 
NR,PERS,N1-3,WORLD,ACT_INAC,DK	: 	31658157 	35726462 	34963670 	34333596 b	30296172 
NR,PERS,N1-3,WORLD,ACT_INAC,EA	: 	: 	: 	: 	770802032 e	780898462 e
NR,PERS,N1-3,WORLD,ACT_INAC,EE	4970661 	4975672 	4286307 	4366405 	3166930 	3285780 
NR,PERS,N1-3,WORLD,ACT_INAC,EL	: 	3301238 	3513955 	3832504 	3087896 	5709271 
NR,PERS,N1-3,WORLD,ACT_INAC,ES	186418273 	176260975 	168521407 b	167371214 	169389000 	172801146 
NR,PERS,N1-3,WORLD,ACT_INAC,EU27	: 	: 	1120083504 e	: 	1104337346 e	1102681300 e
NR,PERS,N1-3,WORLD,ACT_INAC,EU28	: 	: 	1125170244 e	: 	1112087178 e	1110612499 e
NR,PERS,N1-3,WORLD,ACT_INAC,FI	46319231 	44509760 	44730670 	43275161 	45417807 	45839318 
NR,PERS,N1-3,WORLD,ACT_INAC,FR	192579312 	171381050 	174323992 	196313647 	192901010 	195843901 
