unit,purpose,duration,partner,tripdest,geo\time	2017 	2016 	2015 	2014 	2013 
NR,PERS,N1-3,OUT,CRS,DK	: 	: u	: 	: 	: 
NR,PERS,N1-3,OUT,CRS,EA	: 	: 	: 	: 	3171929 e
NR,PERS,N1-3,OUT,CRS,EE	: 	72417 u	: 	: 	74111 u
NR,PERS,N1-3,OUT,CRS,ES	: 	: 	: 	: 	156422 u
NR,PERS,N1-3,OUT,CRS,EU27	: 	: 	: 	: 	3279491 e
NR,PERS,N1-3,OUT,CRS,EU28	: 	: 	: 	: 	3282188 e
NR,PERS,N1-3,OUT,CRS,FI	: 	2250902 	: 	: 	2511523 
NR,PERS,N1-3,OUT,CRS,FR	: u	: u	: 	: 	: u
NR,PERS,N1-3,OUT,CRS,HR	: 	: u	: 	: 	: u
NR,PERS,N1-3,OUT,CRS,HU	: c	: u	: 	: 	: u
NR,PERS,N1-3,OUT,CRS,IE	: 	: u	: 	: 	: u
NR,PERS,N1-3,OUT,CRS,IT	: 	: u	: 	: 	: u
NR,PERS,N1-3,OUT,CRS,LT	: 	12522 u	: 	: 	: 
NR,PERS,N1-3,OUT,CRS,LU	: 	: u	: 	: 	: 
NR,PERS,N1-3,OUT,CRS,LV	: 	76361 u	: 	: 	: u
NR,PERS,N1-3,OUT,CRS,MT	: 	: c	: 	: 	: u
NR,PERS,N1-3,OUT,CRS,NL	: 	: u	: 	: 	: u
NR,PERS,N1-3,OUT,CRS,NO	: u	207692 u	182640 u	218486 u	230893 
NR,PERS,N1-3,OUT,CRS,PL	: 	78191 	: 	: 	: u
NR,PERS,N1-3,OUT,CRS,RO	: c	: u	: 	: 	: u
NR,PERS,N1-3,OUT,CRS,SE	: 	712750 	: 	: 	: 
NR,PERS,N1-3,OUT,CRS,SK	: 	: 	: 	: 	: b
NR,PERS,N1-3,OUT,CRS,UK	: 	: 	: 	: 	: u
NR,PERS,N1-3,OUT,CTRY,AT	1910568 	1972201 	: 	: 	1430356 
NR,PERS,N1-3,OUT,CTRY,BE	: 	2100410 	: 	: 	1445696 
NR,PERS,N1-3,OUT,CTRY,BG	: 	: u	: 	: 	: u
NR,PERS,N1-3,OUT,CTRY,CH	: 	987643 	1239498 	: 	889955 u
NR,PERS,N1-3,OUT,CTRY,CY	: 	: 	: 	: 	: u
NR,PERS,N1-3,OUT,CTRY,CZ	: 	584899 	: 	: 	381042 
NR,PERS,N1-3,OUT,CTRY,DE	: 	13029983 	: 	: 	12570347 
NR,PERS,N1-3,OUT,CTRY,DK	: 	959417 	: 	: 	: 
NR,PERS,N1-3,OUT,CTRY,EA	: 	: 	: 	: 	20494244 e
NR,PERS,N1-3,OUT,CTRY,EE	: 	88855 u	: 	: 	89829 u
NR,PERS,N1-3,OUT,CTRY,EL	: 	: u	: 	: 	: u
NR,PERS,N1-3,OUT,CTRY,ES	: 	1742974 	: 	: 	1254872 
NR,PERS,N1-3,OUT,CTRY,EU27	: 	: 	: 	: 	25008630 e
NR,PERS,N1-3,OUT,CTRY,EU28	: 	: 	: 	: 	25485716 e
NR,PERS,N1-3,OUT,CTRY,FI	: 	510724 	: 	: 	517209 
NR,PERS,N1-3,OUT,CTRY,FR	: 	731007 	: 	: 	791170 
NR,PERS,N1-3,OUT,CTRY,HR	: 	103967 u	: 	: 	472072 
NR,PERS,N1-3,OUT,CTRY,HU	1219747 	1205022 	: 	: 	645733 
NR,PERS,N1-3,OUT,CTRY,IE	: 	347145 	: 	: 	256020 
NR,PERS,N1-3,OUT,CTRY,IT	: 	: u	: 	: 	: u
NR,PERS,N1-3,OUT,CTRY,LT	: 	66164 	: 	: 	89381 
NR,PERS,N1-3,OUT,CTRY,LU	: 	199389 	: 	: 	252830 
NR,PERS,N1-3,OUT,CTRY,LV	: 	118145 u	: 	: 	62690 u
NR,PERS,N1-3,OUT,CTRY,MT	: 	64962 	: 	: 	22662 
NR,PERS,N1-3,OUT,CTRY,NL	: 	815086 	: 	: 	925943 
NR,PERS,N1-3,OUT,CTRY,NO	404218 u	391360 u	499289 	394314 	400215 
NR,PERS,N1-3,OUT,CTRY,PL	: 	199819 	: 	: 	269331 u
NR,PERS,N1-3,OUT,CTRY,PT	: 	69642 u	: 	: 	: u
NR,PERS,N1-3,OUT,CTRY,RO	: c	: u	: 	: 	: u
NR,PERS,N1-3,OUT,CTRY,SE	: 	1236575 	: 	: 	: 
NR,PERS,N1-3,OUT,CTRY,SI	: 	234162 	: 	: 	465018 
NR,PERS,N1-3,OUT,CTRY,SK	: 	268772 u	: 	: 	: u
NR,PERS,N1-3,OUT,CTRY,UK	: 	: 	: 	: 	2570987 
NR,PERS,N1-3,OUT,MNT,AT	402006 	364458 	: 	: 	324886 
NR,PERS,N1-3,OUT,MNT,BE	: 	546605 	: 	: 	660479 
NR,PERS,N1-3,OUT,MNT,BG	: 	: u	: 	: 	: u
NR,PERS,N1-3,OUT,MNT,CH	: 	568859 u	763528 u	: 	621704 u
NR,PERS,N1-3,OUT,MNT,CY	: 	: 	: 	: 	: u
NR,PERS,N1-3,OUT,MNT,CZ	: 	1047802 	: 	: 	843458 
NR,PERS,N1-3,OUT,MNT,DE	: 	9284985 	: 	: 	7192389 
NR,PERS,N1-3,OUT,MNT,DK	: 	271188 u	: 	: 	559965 
NR,PERS,N1-3,OUT,MNT,EA	: 	: 	: 	: 	12943521 e
NR,PERS,N1-3,OUT,MNT,EE	: 	: u	: 	: 	: u
NR,PERS,N1-3,OUT,MNT,EL	: 	: u	: 	: 	: u
NR,PERS,N1-3,OUT,MNT,ES	: 	1349275 	: 	: 	1406352 
NR,PERS,N1-3,OUT,MNT,EU27	: 	: 	: 	: 	16405855 e
NR,PERS,N1-3,OUT,MNT,EU28	: 	: 	: 	: 	16674483 e
NR,PERS,N1-3,OUT,MNT,FI	: 	: u	: 	: 	: u
NR,PERS,N1-3,OUT,MNT,FR	: 	557942 	: 	: 	516399 
NR,PERS,N1-3,OUT,MNT,HR	: 	: u	: 	: 	266178 
NR,PERS,N1-3,OUT,MNT,HU	684792 	521251 	: 	: 	455165 
NR,PERS,N1-3,OUT,MNT,IE	: 	76366 u	: 	: 	70202 u
NR,PERS,N1-3,OUT,MNT,IT	: 	: u	: 	: 	: u
