unit,purpose,duration,partner,geo\time	2017 	2016 	2015 	2014 	2013 	2012 
THS_EUR,PERS,N1-3,BG,FR	: u	: u	: 	: u	: 	: u
THS_EUR,PERS,N1-3,BG,HR	: u	: 	: 	: u	: 	: 
THS_EUR,PERS,N1-3,BG,HU	: c	: u	: u	: u	: u	: u
THS_EUR,PERS,N1-3,BG,IE	: c	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,BG,LT	: c	: u	: u	: u	: u	: u
THS_EUR,PERS,N1-3,BG,LU	: 	: 	: u	: 	: 	: u
THS_EUR,PERS,N1-3,BG,LV	: 	: c	: 	: 	: u	: 
THS_EUR,PERS,N1-3,BG,MT	: 	: c	: 	: 	: 	: 
THS_EUR,PERS,N1-3,BG,NL	: c	: u	: u	: 	: 	: 
THS_EUR,PERS,N1-3,BG,NO	: u	: u	: 	: 	: u	: 
THS_EUR,PERS,N1-3,BG,PL	: 	: u	: u	: 	: 	: u
THS_EUR,PERS,N1-3,BG,PT	: 	: u	: 	: 	: 	: 
THS_EUR,PERS,N1-3,BG,RO	3711.66 u	: u	: u	: u	4952.75 u	: u
THS_EUR,PERS,N1-3,BG,SE	: 	: u	: u	: u	: 	: 
THS_EUR,PERS,N1-3,BG,SI	: 	: 	: u	: 	: 	: u
THS_EUR,PERS,N1-3,BG,UK	: 	: 	: 	: 	: 	2722.97 u
THS_EUR,PERS,N1-3,BR,ES	: 	: 	: 	: 	: 	: u
THS_EUR,PERS,N1-3,BR,LU	: 	: 	: u	: 	: 	: 
THS_EUR,PERS,N1-3,BR,NL	: c	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,BR,NO	: 	: 	: u	: 	: 	: 
THS_EUR,PERS,N1-3,BR,PT	: c	: u	: 	: 	: 	: 
THS_EUR,PERS,N1-3,BR,SE	: 	: u	: 	: 	: 	: 
THS_EUR,PERS,N1-3,BR,UK	: 	: 	: 	: 	: u	: u
THS_EUR,PERS,N1-3,CA,AT	: 	: 	: u	: u	: 	: u
THS_EUR,PERS,N1-3,CA,BE	: 	: 	: 	: u	: 	: 
THS_EUR,PERS,N1-3,CA,DE	: 	: 	: 	: 	: u	: u
THS_EUR,PERS,N1-3,CA,DK	: 	: 	: u	: 	: 	: 
THS_EUR,PERS,N1-3,CA,EE	: 	: 	: 	: 	: 	: u
THS_EUR,PERS,N1-3,CA,FR	: u	: 	: 	: 	: 	: u
THS_EUR,PERS,N1-3,CA,HR	: 	: 	: 	: 	: u	: 
THS_EUR,PERS,N1-3,CA,HU	: 	: 	: 	: 	: 	: u
THS_EUR,PERS,N1-3,CA,IE	: 	: u	: 	: u	: 	: 
THS_EUR,PERS,N1-3,CA,MT	: 	: 	: 	: 	: 	: u
THS_EUR,PERS,N1-3,CA,NL	: c	: 	: 	: 	: u	: u
THS_EUR,PERS,N1-3,CA,NO	: u	: 	: 	: 	: u	: 
THS_EUR,PERS,N1-3,CA,PL	: 	: u	: 	: 	: 	: 
THS_EUR,PERS,N1-3,CA,PT	: c	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,CA,SE	: 	: 	: u	: 	: 	: 
THS_EUR,PERS,N1-3,CA,UK	: 	: 	: 	: 	: u	: u
THS_EUR,PERS,N1-3,CH,AT	47792.38 u	25030.83 u	43588.37 u	45964.54 u	32325.08 u	24717.67 u
THS_EUR,PERS,N1-3,CH,BE	: u	9372.93 	11623.6 u	9081.52 u	: u	: u
THS_EUR,PERS,N1-3,CH,CH	: 	902648.07 	867966.81 	802639.94 	891896.36 	723739.41 
THS_EUR,PERS,N1-3,CH,CY	: c	: u	: 	: u	: 	: u
THS_EUR,PERS,N1-3,CH,CZ	: 	: u	: u	: u	: 	: 
THS_EUR,PERS,N1-3,CH,DE	212407.52 u	225413.94 u	355980.35 u	239494.6 u	300735.19 u	256532.58 
THS_EUR,PERS,N1-3,CH,DK	: 	: u	: u	: u	: u	: u
THS_EUR,PERS,N1-3,CH,EE	: c	: u	: 	: 	: u	: 
