unit,purpose,duration,partner,geo\time	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 
NR,PERS,N_GE1,DOM,DK	: 	20455167 	22821994 	22904453 	22215862 b	20437399 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4700000 	4588600 	: 	5621000 	6310900 	: 	: 
NR,PERS,N_GE1,DOM,EA	: 	: 	: 	545676166 e	557213733 e	568022424 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N_GE1,DOM,EE	2870377 	2826552 	2382651 	2256060 	1556379 	1603942 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N_GE1,DOM,EL	: 	4590494 	4841429 	5340341 	4615278 	6257327 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N_GE1,DOM,ES	131951376 	125026932 	118297495 b	110258727 	113318596 	115084699 	: 	: 	: 	: 	: 	113387212 	117875900 	105539300 	102284300 	98643590 	119729830 	116737420 	61983706 	31817066 	: 	: 	: 	: 
NR,PERS,N_GE1,DOM,EU27	: 	: 	794330526 e	792897894 e	783447995 e	798133902 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N_GE1,DOM,EU28	: 	: 	797467500 e	797221481 e	788773770 e	803213461 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N_GE1,DOM,FI	26383669 	25928616 	25721202 	25208829 	26527497 	26771129 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N_GE1,DOM,FR	171703705 	158642404 	161944418 	181739243 	181318156 	181517827 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	140644000 	142047000 	147787000 	148037000 	: 	: 	: 
NR,PERS,N_GE1,DOM,HR	2552192 	2546275 	3587698 	4623508 	5350704 	5111093 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
