unit,purpose,duration,partner,expend,geo\time	2016 	2015 	2014 	2013 	2012 
EUR,PERS,N1-3,OUT,OTH,FR	35.25 	37.55 	35.45 	33.55 	35.48 
EUR,PERS,N1-3,OUT,OTH,HR	15.3 	24.12 	22.12 	43.73 	16.53 
EUR,PERS,N1-3,OUT,OTH,HU	40.68 	35.55 	42.11 	47.47 	43.64 
EUR,PERS,N1-3,OUT,OTH,IE	69.45 	71.56 	67.21 	60.97 	62.81 
EUR,PERS,N1-3,OUT,OTH,IT	51.62 	51.86 	35.56 b	49.2 	48.01 
EUR,PERS,N1-3,OUT,OTH,LT	28.76 	23.9 	33.98 	38.7 	27.7 
EUR,PERS,N1-3,OUT,OTH,LU	27.28 	28.76 	30.53 	30.8 	22.49 
EUR,PERS,N1-3,OUT,OTH,LV	20.66 	24.82 	17.08 	17.41 	20.99 
EUR,PERS,N1-3,OUT,OTH,MT	123.12 	121.9 	118.89 b	130.95 	128.18 
EUR,PERS,N1-3,OUT,OTH,NL	17.61 	16.5 	17.22 	11.66 	11.86 
EUR,PERS,N1-3,OUT,OTH,PL	23.88 	20.43 	26.86 b	21.08 	31.24 
EUR,PERS,N1-3,OUT,OTH,PT	11.55 	21.05 	21.46 	10.43 	8.28 
EUR,PERS,N1-3,OUT,OTH,RO	19.06 	19.82 	13.91 	8.3 	27.89 
EUR,PERS,N1-3,OUT,OTH,SE	72.92 	70.77 	48.41 	: 	: 
EUR,PERS,N1-3,OUT,OTH,SI	10.03 	10.16 	11.51 	11.64 	12.16 
EUR,PERS,N1-3,OUT,OTH,SK	22.65 	31.35 	28.34 	22.35 b	54.68 
EUR,PERS,N1-3,OUT,OTH,UK	: 	: 	: 	15.59 	19.69 
