unit,purpose,duration,partner,expend,geo\time	2016 	2015 	2014 	2013 	2012 
EUR,PERS,N1-3,OUT,DUR,HU	9.33 	9.63 	7.07 	4.59 	7.17 
EUR,PERS,N1-3,OUT,DUR,IE	5.53 	10.7 	7.3 	5.2 	8.45 
EUR,PERS,N1-3,OUT,DUR,IT	0 	0 	2.68 b	0 	0.26 
EUR,PERS,N1-3,OUT,DUR,LT	14.3 	5.16 	0 	0.18 	24.26 
EUR,PERS,N1-3,OUT,DUR,LU	0.78 	0.98 	5.82 	0.96 	2 
EUR,PERS,N1-3,OUT,DUR,LV	3.91 	0 	0.98 	1.85 	14.09 
EUR,PERS,N1-3,OUT,DUR,MT	22.04 	76.9 	102.45 b	0 	0 
EUR,PERS,N1-3,OUT,DUR,NL	3.77 	0.15 	0.69 	20.99 	20.98 
EUR,PERS,N1-3,OUT,DUR,PL	11.69 	13.94 	8.64 b	12.27 	17.61 
EUR,PERS,N1-3,OUT,DUR,PT	1.07 	0.56 	0 	3.89 	0.37 
EUR,PERS,N1-3,OUT,DUR,RO	1.33 	2.32 	6.31 	0 	0 
EUR,PERS,N1-3,OUT,DUR,SE	0 	0 	0 	: 	: 
EUR,PERS,N1-3,OUT,DUR,SI	0.03 	0.09 	0 	0.27 	0.57 
EUR,PERS,N1-3,OUT,DUR,SK	1.32 	1.64 	0.77 	2.66 b	25.3 
EUR,PERS,N1-3,OUT,DUR,UK	: 	: 	: 	15.26 	132.84 
EUR,PERS,N1-3,OUT,OTH,AT	133.27 	132.24 	140.81 	115.3 	102.03 
EUR,PERS,N1-3,OUT,OTH,BE	34.24 	96.64 	97.59 	106.93 	84.9 
EUR,PERS,N1-3,OUT,OTH,BG	43.19 	22.91 	19.34 	29.73 	46.69 
EUR,PERS,N1-3,OUT,OTH,CH	64.16 	70.44 	54.66 	63.86 	62.27 
EUR,PERS,N1-3,OUT,OTH,CY	167.06 	121.41 	97.66 	67.19 	80.89 
EUR,PERS,N1-3,OUT,OTH,CZ	49.28 	51.47 	46.1 	52.27 	47.87 
EUR,PERS,N1-3,OUT,OTH,DE	88.34 	120.28 	81.02 	95.1 	81.94 
EUR,PERS,N1-3,OUT,OTH,DK	125.6 	123.63 	108.36 b	115.92 b	98.55 
EUR,PERS,N1-3,OUT,OTH,EA	: 	: 	86.17 e	92.15 	86.3 
EUR,PERS,N1-3,OUT,OTH,EE	56.85 	52.24 	33.31 	36.22 	19.76 
EUR,PERS,N1-3,OUT,OTH,EL	46.22 	68.26 	50.05 	38.26 	21.11 
EUR,PERS,N1-3,OUT,OTH,ES	65.07 	58.74 b	81.92 	98.76 	85.74 
EUR,PERS,N1-3,OUT,OTH,EU27	: 	98.66 	85.33 e	83.27 	79.73 
EUR,PERS,N1-3,OUT,OTH,EU28	: 	97.91 	84.55 e	83.34 	78.86 
EUR,PERS,N1-3,OUT,OTH,FI	121.75 	113.29 	125.65 	134.55 	140.38 
EUR,PERS,N1-3,OUT,OTH,FR	78.31 	82.71 	78.23 	74 	80.2 
EUR,PERS,N1-3,OUT,OTH,HR	31.47 	52.29 	43.73 	87.53 	33.54 
EUR,PERS,N1-3,OUT,OTH,HU	77.22 	68.08 	82.94 	94.23 	87.6 
EUR,PERS,N1-3,OUT,OTH,IE	151.8 	162.49 	152.38 	138.71 	140.57 
EUR,PERS,N1-3,OUT,OTH,IT	125.12 	127.51 	83.15 b	118.73 	113.07 
EUR,PERS,N1-3,OUT,OTH,LT	54.41 	47.23 	66.37 	71.98 	53.24 
EUR,PERS,N1-3,OUT,OTH,LU	57.82 	63.09 	65.28 	64.39 	46.74 
EUR,PERS,N1-3,OUT,OTH,LV	36.9 	45.29 	30.35 	33.69 	38 
EUR,PERS,N1-3,OUT,OTH,MT	320.49 	316.12 	305.5 b	328.83 	327.52 
EUR,PERS,N1-3,OUT,OTH,NL	41.14 	38.51 	40.41 	26.84 	27.98 
EUR,PERS,N1-3,OUT,OTH,PL	55.22 	46.45 	61.06 b	47 	67.39 
EUR,PERS,N1-3,OUT,OTH,PT	26.57 	47.15 	49.33 	24.14 	17.65 
EUR,PERS,N1-3,OUT,OTH,RO	49.45 	47.47 	35.31 	22.1 	75.96 
EUR,PERS,N1-3,OUT,OTH,SE	144.56 	140.8 	99.46 	: 	: 
EUR,PERS,N1-3,OUT,OTH,SI	22.09 	23.16 	23.7 	24.82 	26.32 
EUR,PERS,N1-3,OUT,OTH,SK	49.77 	74.9 	64.03 	56.88 b	118.95 
EUR,PERS,N1-3,OUT,OTH,UK	: 	: 	: 	38.46 	48.62 
